date,USD_CHF,EUR_GBP,USD_CAD,GBP_JPY,EUR_USD,EUR_JPY,EUR_CHF,GBP_USD,USD_JPY
2017-01-02 07:42:00,1,1,1,1,1,1,1,1,0
2017-01-02 07:45:00,0,1,0,1,0,0,0,1,0
2017-01-02 07:48:00,1,0,1,0,1,1,1,0,1
2017-01-02 07:51:00,1,1,0,1,1,1,1,1,1
2017-01-02 07:54:00,1,0,1,0,0,0,1,0,0
2017-01-02 07:57:00,0,0,0,0,1,1,0,1,1
2017-01-02 08:00:00,1,1,1,1,1,0,1,0,1
2017-01-02 08:03:00,0,1,0,0,0,0,0,0,0
2017-01-02 08:06:00,1,0,1,0,0,0,1,0,1
2017-01-02 08:09:00,0,0,0,1,0,1,0,1,1
2017-01-02 08:12:00,0,1,0,1,0,0,0,1,0
2017-01-02 08:15:00,1,0,1,0,0,0,0,1,0
2017-01-02 08:18:00,1,1,0,0,1,1,1,0,0
2017-01-02 08:21:00,1,0,0,1,0,0,1,1,1
2017-01-02 08:24:00,0,1,1,1,1,1,0,1,1
2017-01-02 08:27:00,0,1,0,0,1,0,0,1,0
2017-01-02 08:30:00,0,0,1,0,0,0,0,0,0
2017-01-02 08:33:00,0,0,,0,0,0,1,0,1
2017-01-02 08:36:00,1,1,,0,1,1,0,0,1
2017-01-02 08:39:00,0,1,1,0,0,0,0,0,0
2017-01-02 08:42:00,1,1,0,1,1,0,1,1,0
2017-01-02 08:45:00,0,0,0,1,0,1,0,0,1
2017-01-02 08:48:00,0,0,1,0,0,0,0,0,0
2017-01-02 08:51:00,0,0,0,0,1,1,1,0,1
2017-01-02 08:55:00,1,1,0,1,1,1,1,0,1
2017-01-02 08:58:00,0,1,1,1,0,0,0,0,0
2017-01-02 09:01:00,1,0,0,0,0,1,1,1,1
2017-01-02 09:04:00,1,1,1,1,1,1,0,1,1
2017-01-02 09:07:00,0,0,0,1,1,1,1,1,0
2017-01-02 09:10:00,0,1,1,0,0,1,1,0,1
2017-01-02 09:13:00,1,0,0,0,1,0,1,1,0
2017-01-02 09:16:00,1,0,0,0,0,0,1,0,0
2017-01-02 09:19:00,0,0,0,,0,0,1,0,0
2017-01-02 09:22:00,1,1,1,,1,0,0,1,0
2017-01-02 09:25:00,0,0,1,0,1,1,1,1,0
2017-01-02 09:28:00,0,1,0,0,0,0,1,1,0
2017-01-02 09:31:00,1,1,0,1,0,0,1,1,1
2017-01-02 09:34:00,0,1,1,0,1,1,0,0,1
2017-01-02 09:37:00,1,0,1,0,0,0,0,0,0
2017-01-02 09:40:00,0,1,1,1,0,1,0,1,1
2017-01-02 09:43:00,1,1,0,1,1,1,1,0,1
2017-01-02 09:46:00,0,0,1,1,0,0,0,0,0
2017-01-02 09:49:00,0,0,1,1,1,1,1,1,0
2017-01-02 09:52:00,1,1,0,0,0,0,1,0,0
2017-01-02 09:55:00,0,1,1,1,1,0,0,0,0
2017-01-02 09:58:00,1,1,0,0,1,1,1,0,1
2017-01-02 10:01:00,1,0,0,0,0,0,0,1,0
2017-01-02 10:04:00,0,0,0,1,0,1,0,0,1
2017-01-02 10:07:00,1,1,1,1,1,0,1,1,1
2017-01-02 10:10:00,1,0,,0,0,1,0,1,0
2017-01-02 10:13:00,1,1,,,1,0,1,0,1
2017-01-02 10:16:00,0,1,1,,1,1,1,1,1
2017-01-02 10:19:00,0,0,0,,0,0,0,0,0
2017-01-02 10:22:00,1,1,1,,1,1,1,1,1
2017-01-02 10:25:00,0,1,,1,0,0,0,1,1
2017-01-02 10:28:00,0,1,,0,0,0,0,0,0
2017-01-02 10:31:00,1,0,1,0,0,1,0,1,0
2017-01-02 10:34:00,0,0,1,1,1,0,0,0,0
2017-01-02 10:37:00,1,1,1,1,1,1,1,1,0
2017-01-02 10:40:00,0,0,0,1,0,1,0,0,1
2017-01-02 10:43:00,1,1,1,,1,0,1,,1
2017-01-02 10:46:00,0,0,0,,0,0,0,,0
2017-01-02 10:49:00,0,0,0,,1,1,1,0,1
2017-01-02 10:52:00,0,1,1,,0,1,0,1,1
2017-01-02 10:55:00,1,1,,,1,1,1,1,0
2017-01-02 10:58:00,0,0,,0,0,0,0,0,1
2017-01-02 11:01:00,1,0,1,0,1,1,1,0,1
2017-01-02 11:04:00,1,1,0,1,1,1,1,1,0
2017-01-02 11:07:00,0,,1,0,0,0,0,0,0
2017-01-02 11:10:00,0,,0,1,0,1,0,1,0
2017-01-02 11:13:00,1,0,1,0,1,1,1,0,1
2017-01-02 11:16:00,0,0,1,1,0,1,0,0,1
2017-01-02 11:19:00,1,1,1,,0,0,1,1,0
2017-01-02 11:22:00,1,1,0,,1,1,1,1,1
2017-01-02 11:25:00,0,0,0,,0,0,0,,0
2017-01-02 11:28:00,0,1,0,,1,1,0,,1
2017-01-02 11:31:00,1,0,0,0,0,0,,0,0
2017-01-02 11:34:00,0,0,1,,,1,,1,1
2017-01-02 11:37:00,1,1,0,,,0,,1,0
2017-01-02 11:41:00,0,0,0,,1,1,0,1,0
2017-01-02 11:44:00,1,1,1,0,0,1,1,1,0
2017-01-02 11:47:00,1,1,1,0,0,0,0,0,1
2017-01-02 11:50:00,0,0,0,,0,0,,1,0
2017-01-02 11:53:00,0,,1,,1,1,,0,1
2017-01-02 11:56:00,1,,,1,1,0,1,0,0
2017-01-02 11:59:00,0,1,,1,1,0,1,0,0
2017-01-02 12:02:00,0,0,0,0,1,1,0,1,1
2017-01-02 12:05:00,0,1,1,0,0,0,0,0,0
